Job Titles_En,Turkce_Meslek
Mental Health Specialist,Ruh Sağlığı Uzmanı
Mep Engineer,MEP Mühendisi
Merchandise Assistant,Ürün Asistanı
Merchandise Coordinator,Ürün Koordinatörü
Merchandise Executive,Ürün Yöneticisi
Merchandise Manager,Ürün Müdürü
Merchandise Planner,Ürün Planlamacısı
Merchandiser,Ürün Geliştirme Uzmanı
Merchandiser Fmcg_2,Hızlı Tüketim Ürünleri Geliştirme Uzmanı
Merchandising Executive,Ürün Geliştirme Yöneticisi
Merchandising Officer,Ürün Geliştirme Görevlisi
Merchant Services Officer,Ticari Hizmetler Görevlisi
Metallurgical Engineer,Metalurji Mühendisi
Metering Engineer,Ölçüm Mühendisi
Methods Engineer,Yöntem Mühendisi
Microbiologist,Mikrobiyolog
Microservices Developer,Mikroservis Geliştiricisi
Microsoft 365 Administrator,
Microsoft Dynamics Consultant,Microsoft Dynamics Danışmanı
Microsoft Specialist,Microsoft Uzmanı
Middle Management,Orta Kademe Yönetici
Middle Office Analyst,Orta Ofis Analisti
Middle School Teacher,Ortaokul Öğretmeni
Middleware Administrator,Ara Yazılım Yöneticisi
Middleware Engineer,Ara Yazılım Mühendisi
Midwife,Ebe
Migration Engineer,Göç Mühendisi
Military,Asker
Military Officer,Subay
Military Police,Askeri Polis
Mill Engineer,Değirmen Mühendisi
Mill Manager,Değirmen Müdürü
Millwright,Makine Montajcısı
Mine Manager,Maden Müdürü
Mining Engineer,Maden Mühendisi
Mining Manager,Maden Yönetici
Minister,Bakan
Mis Supervisor,
Missionary,Misyoner
Mixer Driver,Karıştırıcı Sürücüsü
Mobile Application Developer,Mobil Uygulama Geliştiricisi
Mobile Application Engineer,Mobil Uygulama Mühendisi
Mobile Automation Tester,Mobil Otomasyon Test Uzmanı
Mobile Banker,Mobil Bankacı
Mobile Crane Operator,Mobil Vinç Operatörü
Mobile Developer,Mobil Geliştirici
Mobile Engineer,Mobil Mühendis
Mobile Phone Technician,Mobil Telefon Teknikeri
Mobile Technician,Mobil Teknisyen
Mobility Specialist,Hareketlilik Uzmanı
Model,Model
Modeller,Modelleyici
Moderator,Moderatör
Module Lead,Modül Lideri
Mold Maker,Kalıp Üreticisi
Molding Engineer,Kalıplama Mühendisi
Monitor,Monitör
Monitoring And Evaluation Coordinator,İzleme ve Değerlendirme Koordinatörü
Monitoring And Evaluation Manager,İzleme ve Değerlendirme Yöneticisi
Monitoring And Evaluation Officer,İzleme ve Değerlendirme Görevlisi
Monitoring And Evaluation Specialist,İzleme ve Değerlendirme Uzmanı
Monitoring Executive,İzleme Yöneticisi
Monitoring Manager,İzleme Yöneticisi
Monitoring Officer,İzleme Görevlisi
Monitoring Specialist,İzleme Uzmanı
Montessori Teacher,Montessori Öğretmeni
Mortarman,
Mortgage Accounting Clerk,Mortgage Muhasebe Katipliği
Mortgage Adviser,Mortgage Danışmanı
Mortgage Broker,Mortgage Brokerı
Mortgage Consultant,Mortgage Danışmanı
Mortgage Executive,Mortgage Yöneticisi
Mortgage Loan Executive,Mortgage Kredi Yöneticisi
Mortgage Loan Officer,Mortgage Kredi Görevlisi
Mortgage Loan Originator,Mortgage Kredi Başlatıcısı
Mortgage Sales Consultant,Mortgage Satış Danışmanı
Mortgage Sales Executive,Mortgage Satış Yöneticisi
Mortgage Specialist,Mortgage Uzmanı
Motion Designer,Hareket Grafikleri Tasarımcısı
Motion Graphics Designer,Hareket Grafikleri Tasarımcısı
Motor Dealer,Motorlu Araç Bayisi
Motor Insurance Executive,Motor Sigorta Yöneticisi
Motor Technician,Motor Teknikeri
Motor Vehicle Operator,Motorlu Araç Operatörü
Motorcycle Sales Executive,Motosiklet Satış Yöneticisi
Motorcycle Technician,Motosiklet Teknikeri
Mould Technician,Kalıp Teknikeri
Moulding Technician,Şekillendirme Teknikeri
Msc,Yüksek Lisans
Msc Thesis,Yüksek Lisans Tezi
Mulesoft Developer,Mulesoft Geliştiricisi
Multimedia Designer,Multimedya Tasarımcısı
Multimedia Executive,Multimedya Yöneticisi
Multimedia Specialist,Multimedya Uzmanı
Murex Consultant,Murex Danışmanı
Murex Software Developer,Murex Yazılım Geliştiricisi
Music Composer,Müzik Bestecisi
Music Director,Müzik Direktörü
Music Educator,Müzik Eğitmeni
Music Instructor,Müzik Öğretmeni
Music Producer,Müzik Yapımcısı
Music Professional,Müzik Profesyoneli
Music Teacher,Müzik Öğretmeni
Musical Director,Müzik Direktörü
Musician,Müzisyen
Mutual Fund Specialist,Yatırım Fonu Uzmanı
Myotherapist,Miyoterapist
Mystery Shopper,Gizli Alıcı
NCOIC,
NDE Technician,NDE Teknikeri
NDT Engineer,NDT Mühendisi
NDT Inspector,NDT Müfettişi
NDT Technician,NDT Teknikeri
NPD Manager,Ürün Geliştirme Yöneticisi
NSS Engineer,
NVQ Assessor,NVQ Değerlendiricisi
Nanny,Dadı
National Account Director,Ulusal Hesap Direktörü
National Account Executive,Ulusal Hesap Yöneticisi
National Account Manager,Ulusal Hesap Yöneticisi
National Account Sales,Ulusal Hesap Satış Uzmanı
National Account Specialist,Ulusal Hesap Uzmanı
National Director,Ulusal Direktör
National Key Account,Ulusal Kilit Hesap Yöneticisi
National Key Account Manager,Ulusal Kilit Hesap Yöneticisi
National Manager,Ulusal Yöneticisi
National Operations Manager,Ulusal Operasyon Yöneticisi
National Sales Director,Ulusal Satış Direktörü
National Sales Executive,Ulusal Satış Yöneticisi
National Sales Manager,Ulusal Satış Yöneticisi
National Sales Specialist,Ulusal Satış Uzmanı
Natural Resources Specialist,Doğal Kaynaklar Uzmanı
Naturalist,Doğabilimci
Naval Engineer,Deniz Mühendisi
Naval Flight Officer,Deniz Uçuş Subayı
Navigator,Seyir Subayı
Navy,Deniz Kuvvetleri Mensubu
Negotiator,Aracı
Neonatal Intensive Care Nurse,Yenidoğan Yoğun Bakım Hemşiresi
Neonatology Nurse Practitioner,Yenidoğan Hemşirelik Uygulayıcısı
Network Administrator,Ağ Yöneticisi
Network Analyst,Ağ Analisti
Network And Security Administrator,Ağ ve Güvenlik Yöneticisi
Network And Security Engineer,Ağ ve Güvenlik Mühendisi
Network And Security Specialist,Ağ ve Güvenlik Uzmanı
Network And Systems Engineer,Ağ ve Sistemler Mühendisi
Network Architect,Ağ Mimarı
Network Coordinator,Ağ Koordinatörü
Network Design Engineer,Ağ Tasarım Mühendisi
Network Engineer,Ağ Mühendisi
Network Expert,Ağ Uzmanı
Network Infrastructure Engineer,Ağ Altyapı Mühendisi
Network Manager,Ağ Yöneticisi
Network Operations Center,Ağ İşlem Merkezi
Network Operations Centre Analyst,Ağ İşlem Merkezi Analisti
Network Operations Centre Engineer,Ağ İşlem Merkezi Mühendisi
Network Operations Centre Manager,Ağ İşlem Merkezi Yöneticisi
Network Operations Manager,Ağ Operasyonları Yöneticisi
Network Operations Specialist,Ağ Operasyonları Uzmanı
Network Planner,Ağ Planlamacısı
Network Professional,Ağ Uzmanı
Network Security Engineer,Ağ Güvenlik Mühendisi
Network Solution Architect,Ağ Çözümleri Mimarı
Network Specialist,Ağ Uzmanı
Network Support,Ağ Destek Uzmanı
Network Support Engineer,Ağ Destek Mühendisi
Network System Specialist,Ağ Sistem Uzmanı
Network Systems Administrator,Ağ Sistemleri Yöneticisi
Network Technician,Ağ Teknisyeni
Networking Specialist,Ağ Uzmanı
Networks Project Manager,Ağ Projesi Yöneticisi
New Business Development,Yeni İş Geliştirme
New Product Development Manager,Yeni Ürün Geliştirme Müdürü
New Product Introduction Buyer,Yeni Ürün Tanıtım Alıcısı
New Product Introduction Engineer,Yeni Ürün Tanıtım Mühendisi
New Product Introduction Manager,Yeni Ürün Tanıtım Müdürü
New Product Introduction Program Manager,Yeni Ürün Tanıtım Program Yöneticisi
New Product Introduction Project Manager,Yeni Ürün Tanıtım Proje Yöneticisi
News Anchor,Haber Sunucusu
News Editor,Haber Editörü
News Reporter,Haber Muhabiri
News Specialist,Haber Uzmanı
Night Auditor,Gece Denetçisi
Night Crew Chief,Gece Ekip Şefi
Night Editor,Gece Editörü
Night Manager,Gece Müdürü
Night Operations Manager,Gece Operasyon Müdürü
Night Shift Supervisor,Gece Nöbeti Amir
Night Stocker,Gece Stokçusu
Night Supervisor,Gece Amir
Nightclub Manager,Gece Kulübü Müdürü
Nightclub Owner,Gece Kulübü Sahibi
Node Js Software Developer,Node Js Yazılım Geliştiricisi
Non Executive Board Member,Yönetim Kurulu Üyesi (İcra Dışı)
Non Executive Chair,İcra Dışı Başkan
Non Executive Chairman,İcra Dışı Yönetim Kurulu Başkanı
Non Executive Chairwoman,İcra Dışı Yönetim Kurulu Başkanı (Kadın)
Non Executive Director,İcra Dışı Yönetim Kurulu Üyesi
Non-Commissioned Officer,Astsubay
Non-Commissioned Officer in Charge,Sorumlu Astsubay
Nondestructive Evaluation Technician,Tahribatsız Muayene Teknisyeni
Nondestructive Testing Engineer,Tahribatsız Test Mühendisi
Nondestructive Testing Technician,Tahribatsız Test Teknisyeni
Nonprofit,Kar Amacı Gütmeyen Kuruluş
Notary,Noter
Notary Public,Noter
Novelist,Romancı
Nuclear Oversight Assessor,Nükleer Denetim Değerlendiricisi
Nurse,Hemşire
Nurse Manager,Hemşirelik Hizmetleri Müdürü
Nurse Midwife,Ebe Hemşire
Nurse Oncology,Onkoloji Hemşiresi
Nurse Practitioner,Uygulamalı Hemşire
